record_date,month_in_year,day_in_month,day_in_year,day_in_week,week_in_month,week_in_year,is_holiday,holiday_before,holiday_after,day_in_holiday,is_adjust,is_special_holiday
2015-11-18,11,18,322,3,4,46,0,3,3,0,0,0
2015-11-19,11,19,323,4,4,46,0,2,4,0,0,0
2015-11-20,11,20,324,5,4,46,0,1,5,0,0,0
2015-11-21,11,21,325,6,4,46,1,0,0,1,0,0
2015-11-22,11,22,326,7,4,47,1,0,0,2,0,0
2015-11-23,11,23,327,1,5,47,0,5,1,0,0,0
2015-11-24,11,24,328,2,5,47,0,4,2,0,0,0
2015-11-25,11,25,329,3,5,47,0,3,3,0,0,0
2015-11-26,11,26,330,4,5,47,0,2,4,0,0,0
2015-11-27,11,27,331,5,5,47,0,1,5,0,0,0
2015-11-28,11,28,332,6,5,47,1,0,0,1,0,0
2015-11-29,11,29,333,7,5,48,1,0,0,2,0,0
2015-11-30,11,30,334,1,6,48,0,5,1,0,0,0
2015-12-01,12,1,335,2,1,48,0,4,2,0,0,0
2015-12-02,12,2,336,3,1,48,0,3,3,0,0,0
2015-12-03,12,3,337,4,1,48,0,2,4,0,0,0
2015-12-04,12,4,338,5,1,48,0,1,5,0,0,0
2015-12-05,12,5,339,6,1,48,1,0,0,1,0,0
2015-12-06,12,6,340,7,1,49,1,0,0,2,0,0
2015-12-07,12,7,341,1,2,49,0,5,1,0,0,0
2015-12-08,12,8,342,2,2,49,0,4,2,0,0,0
2015-12-09,12,9,343,3,2,49,0,3,3,0,0,0
2015-12-10,12,10,344,4,2,49,0,2,4,0,0,0
2015-12-11,12,11,345,5,2,49,0,1,5,0,0,0
2015-12-12,12,12,346,6,2,49,1,0,0,1,0,0
2015-12-13,12,13,347,7,2,50,1,0,0,2,0,0
2015-12-14,12,14,348,1,3,50,0,5,1,0,0,0
2015-12-15,12,15,349,2,3,50,0,4,2,0,0,0
2015-12-16,12,16,350,3,3,50,0,3,3,0,0,0
2015-12-17,12,17,351,4,3,50,0,2,4,0,0,0
2015-12-18,12,18,352,5,3,50,0,1,5,0,0,0
2015-12-19,12,19,353,6,3,50,1,0,0,1,0,0
2015-12-20,12,20,354,7,3,51,1,0,0,2,0,0
2015-12-21,12,21,355,1,4,51,0,5,1,0,0,0
2015-12-22,12,22,356,2,4,51,0,4,2,0,0,0
2015-12-23,12,23,357,3,4,51,0,3,3,0,0,0
2015-12-24,12,24,358,4,4,51,0,2,4,0,0,0
2015-12-25,12,25,359,5,4,51,0,1,5,0,0,0
2015-12-26,12,26,360,6,4,51,1,0,0,1,0,0
2015-12-27,12,27,361,7,4,52,1,0,0,2,0,0
2015-12-28,12,28,362,1,5,52,0,4,1,0,0,0
2015-12-29,12,29,363,2,5,52,0,3,2,0,0,0
2015-12-30,12,30,364,3,5,52,0,2,3,0,0,0
2015-12-31,12,31,365,4,5,52,0,1,4,0,0,0
2016-01-01,1,1,001,5,1,00,1,0,0,1,1,1
2016-01-02,1,2,002,6,1,00,1,0,0,2,0,1
2016-01-03,1,3,003,7,1,01,1,0,0,3,0,1
2016-01-04,1,4,004,1,2,01,0,5,1,0,0,0
2016-01-05,1,5,005,2,2,01,0,4,2,0,0,0
2016-01-06,1,6,006,3,2,01,0,3,3,0,0,0
2016-01-07,1,7,007,4,2,01,0,2,4,0,0,0
2016-01-08,1,8,008,5,2,01,0,1,5,0,0,0
2016-01-09,1,9,009,6,2,01,1,0,0,1,0,0
2016-01-10,1,10,010,7,2,02,1,0,0,2,0,0
2016-01-11,1,11,011,1,3,02,0,5,1,0,0,0
2016-01-12,1,12,012,2,3,02,0,4,2,0,0,0
2016-01-13,1,13,013,3,3,02,0,3,3,0,0,0
2016-01-14,1,14,014,4,3,02,0,2,4,0,0,0
2016-01-15,1,15,015,5,3,02,0,1,5,0,0,0
2016-01-16,1,16,016,6,3,02,1,0,0,1,0,0
2016-01-17,1,17,017,7,3,03,1,0,0,2,0,0
2016-01-18,1,18,018,1,4,03,0,5,1,0,0,0
2016-01-19,1,19,019,2,4,03,0,4,2,0,0,0
2016-01-20,1,20,020,3,4,03,0,3,3,0,0,0
2016-01-21,1,21,021,4,4,03,0,2,4,0,0,0
2016-01-22,1,22,022,5,4,03,0,1,5,0,0,0
2016-01-23,1,23,023,6,4,03,1,0,0,1,0,0
2016-01-24,1,24,024,7,4,04,1,0,0,2,0,0
2016-01-25,1,25,025,1,5,04,0,5,1,0,0,0
2016-01-26,1,26,026,2,5,04,0,4,2,0,0,0
2016-01-27,1,27,027,3,5,04,0,3,3,0,0,0
2016-01-28,1,28,028,4,5,04,0,2,4,0,0,0
2016-01-29,1,29,029,5,5,04,0,1,5,0,0,0
2016-01-30,1,30,030,6,5,04,1,0,0,1,0,0
2016-01-31,1,31,031,7,5,05,1,0,0,2,0,0
2016-02-01,2,1,032,1,1,05,0,6,1,0,0,0
2016-02-02,2,2,033,2,1,05,0,5,2,0,0,0
2016-02-03,2,3,034,3,1,05,0,4,3,0,0,0
2016-02-04,2,4,035,4,1,05,0,3,4,0,0,0
2016-02-05,2,5,036,5,1,05,0,2,5,0,0,0
2016-02-06,2,6,037,6,1,05,0,1,6,0,1,0
2016-02-07,2,7,038,7,1,06,1,0,0,1,0,1
2016-02-08,2,8,039,1,2,06,1,0,0,2,1,1
2016-02-09,2,9,040,2,2,06,1,0,0,3,1,1
2016-02-10,2,10,041,3,2,06,1,0,0,4,1,1
2016-02-11,2,11,042,4,2,06,1,0,0,5,1,1
2016-02-12,2,12,043,5,2,06,1,0,0,6,1,1
2016-02-13,2,13,044,6,2,06,1,0,0,7,0,1
2016-02-14,2,14,045,7,2,07,0,6,1,0,1,0
2016-02-15,2,15,046,1,3,07,0,5,2,0,0,0
2016-02-16,2,16,047,2,3,07,0,4,3,0,0,0
2016-02-17,2,17,048,3,3,07,0,3,4,0,0,0
2016-02-18,2,18,049,4,3,07,0,2,5,0,0,0
2016-02-19,2,19,050,5,3,07,0,1,6,0,0,0
2016-02-20,2,20,051,6,3,07,1,0,0,1,0,0
2016-02-21,2,21,052,7,3,08,1,0,0,2,0,0
2016-02-22,2,22,053,1,4,08,0,5,1,0,0,0
2016-02-23,2,23,054,2,4,08,0,4,2,0,0,0
2016-02-24,2,24,055,3,4,08,0,3,3,0,0,0
2016-02-25,2,25,056,4,4,08,0,2,4,0,0,0
2016-02-26,2,26,057,5,4,08,0,1,5,0,0,0
2016-02-27,2,27,058,6,4,08,1,0,0,1,0,0
2016-02-28,2,28,059,7,4,09,1,0,0,2,0,0
2016-02-29,2,29,060,1,5,09,0,5,1,0,0,0
2016-03-01,3,1,061,2,1,09,0,4,2,0,0,0
2016-03-02,3,2,062,3,1,09,0,3,3,0,0,0
